archivo,texto_real
placa_001.jpg,BHG-3228
placa_002.jpg,QXX-0633
placa_003.jpg,FNH-7700
placa_004.jpg,XFG-3231
placa_005.jpg,CFT-5527
placa_006.jpg,DAE-8350
placa_007.jpg,WKD-5204
placa_008.jpg,TQJ-5214
placa_009.jpg,JZU-4253
placa_010.jpg,VMX-6048
placa_011.jpg,CDH-6552
placa_012.jpg,RGT-7282
placa_013.jpg,HCF-6936
placa_014.jpg,HLB-1655
placa_015.jpg,OKI-8624
placa_016.jpg,VZD-0093
placa_017.jpg,BNP-5710
placa_018.jpg,DXG-7713
placa_019.jpg,HXZ-8678
placa_020.jpg,UDM-8614
placa_021.jpg,YSH-8402
placa_022.jpg,UOJ-3526
placa_023.jpg,UJI-5320
placa_024.jpg,ZCJ-1313
placa_025.jpg,TDY-8411
placa_026.jpg,GEO-9955
placa_027.jpg,NCJ-8969
placa_028.jpg,LXL-0648
placa_029.jpg,XZN-9184
placa_030.jpg,WHY-9664
placa_031.jpg,NWL-8720
placa_032.jpg,ENV-3718
placa_033.jpg,VJY-7248
placa_034.jpg,TMI-6390
placa_035.jpg,RLK-5129
placa_036.jpg,UVI-1764
placa_037.jpg,SZJ-3774
placa_038.jpg,QAU-3271
placa_039.jpg,YFE-2014
placa_040.jpg,XJX-6424
placa_041.jpg,ZER-6006
placa_042.jpg,ZVI-9445
placa_043.jpg,FHQ-9602
placa_044.jpg,PAT-7475
placa_045.jpg,ZOO-0017
placa_046.jpg,YWH-4545
placa_047.jpg,ROM-0152
placa_048.jpg,LFM-9558
placa_049.jpg,LKF-2984
placa_050.jpg,OPZ-1522
placa_051.jpg,SIG-3664
placa_052.jpg,CNT-3211
placa_053.jpg,NKG-9244
placa_054.jpg,IAH-6050
placa_055.jpg,ZJR-3269
placa_056.jpg,JEV-2798
placa_057.jpg,GMU-6613
placa_058.jpg,DPB-7956
placa_059.jpg,MKF-2645
placa_060.jpg,BBQ-3276
placa_061.jpg,QRQ-7090
